label_variant,positives_total,model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
corrected (330 failures),330,Random Forest,0.991125,0.001355,0.883297,0.060813,0.852467,0.09352,0.862151,0.030494,0.989108,0.009275,0.91167,0.047644
corrected (330 failures),330,Gradient Boosting,0.993625,0.002437,0.965071,0.046764,0.840929,0.085997,0.895381,0.045543,0.990881,0.010406,0.925832,0.039817
uncorrected (339 failures),339,Random Forest,0.991375,0.001556,0.904278,0.024815,0.833939,0.039307,0.867269,0.025939,0.975678,0.016429,0.89522,0.02591
uncorrected (339 failures),339,Gradient Boosting,0.993,0.001202,0.95735,0.015209,0.830303,0.023671,0.88926,0.019389,0.980304,0.018517,0.908319,0.026025
